F,G,P
6.08135000000e02,1.00110181821e00,-6.81607285514e-04
6.16595000000e02,1.00107466315e00,9.82885714620e-04
6.25172700000e02,1.00106887059e00,-4.01966477511e-04
6.33869700000e02,1.00108288130e00,5.59565145522e-04
6.42687700000e02,1.00108602250e00,3.84866980312e-05
6.51628400000e02,1.00106759765e00,-5.85603702348e-04
6.60693400000e02,1.00108386722e00,9.69278742559e-04
6.69884600000e02,1.00106621268e00,-7.40211180528e-05
6.79203600000e02,1.00106591686e00,-1.05655228253e-03
6.88652300000e02,1.00107549227e00,-2.36732157646e-04
6.98232400000e02,1.00108540123e00,1.04982114863e-03
7.07945800000e02,1.00107595898e00,-3.05728404783e-04
7.17794300000e02,1.00107219596e00,-8.80045699887e-04
7.27779800000e02,1.00105811372e00,-9.48874294409e-05
7.37904200000e02,1.00104982016e00,-7.71709252149e-04
7.48169500000e02,1.00107471010e00,-3.48290661350e-04
7.58577600000e02,1.00106379419e00,2.26318588830e-04
7.69130400000e02,1.00105999071e00,-3.84152634069e-04
7.79830100000e02,1.00103828465e00,5.21222100360e-05
7.90678600000e02,1.00105444542e00,7.55553424824e-04
8.01678100000e02,1.00104959804e00,1.73655920662e-04
